X,CH1,CH2,CH3,CH4,Start,Increment,
Sequence,Volt,Volt,Volt,Volt,-1.329000e+00,5.000000e-04
86,-4.00e-01,7.20e-01,1.80e+00,2.36e+00,
87,3.80e+00,8.00e-01,2.00e+00,2.60e+00,
88,3.80e+00,8.00e-01,1.80e+00,2.40e+00,
89,-4.00e-01,7.20e-01,2.00e+00,2.56e+00,
90,3.80e+00,8.00e-01,2.00e+00,2.40e+00,
91,-4.00e-01,7.20e-01,1.76e+00,2.56e+00,
92,3.80e+00,7.20e-01,2.00e+00,2.36e+00,
93,0.00e+00,8.00e-01,1.76e+00,2.60e+00,
94,-4.00e-01,7.20e-01,1.84e+00,2.40e+00,
95,3.80e+00,8.00e-01,2.00e+00,2.60e+00,
96,3.80e+00,7.20e-01,1.76e+00,2.56e+00,
97,0.00e+00,8.00e-01,2.00e+00,2.36e+00,
98,3.80e+00,8.00e-01,1.84e+00,2.60e+00,
99,-4.00e-01,7.20e-01,2.00e+00,2.36e+00,
100,3.80e+00,7.20e-01,2.04e+00,2.64e+00,
101,-4.00e-01,8.00e-01,1.80e+00,2.36e+00,
102,3.80e+00,7.20e-01,1.80e+00,2.36e+00,
103,-4.00e-01,8.00e-01,2.04e+00,2.64e+00,
104,3.80e+00,8.80e-01,1.80e+00,2.80e+00,
105,-1.20e+00,5.60e-01,2.08e+00,2.36e+00,
106,3.80e+00,8.80e-01,2.08e+00,2.84e+00,
107,-1.00e+00,5.60e-01,1.56e+00,2.16e+00,
108,3.80e+00,7.20e-01,1.72e+00,2.20e+00,
109,-8.00e-01,8.80e-01,2.12e+00,2.84e+00,
110,-4.00e-01,7.20e-01,2.00e+00,2.40e+00,
111,3.80e+00,8.00e-01,1.76e+00,2.60e+00,
112,3.80e+00,7.20e-01,1.76e+00,2.60e+00,
113,-4.00e-01,8.00e-01,2.00e+00,2.36e+00,
114,3.80e+00,8.00e-01,1.96e+00,2.36e+00,
115,-4.00e-01,7.20e-01,1.80e+00,2.60e+00,
116,-4.00e-01,7.20e-01,1.68e+00,2.12e+00,
117,4.60e+00,9.60e-01,2.20e+00,2.92e+00,
118,3.80e+00,7.20e-01,1.76e+00,2.60e+00,
119,-8.00e-01,8.00e-01,1.96e+00,2.40e+00,
120,3.80e+00,7.20e-01,1.96e+00,2.36e+00,
121,-4.00e-01,8.00e-01,1.80e+00,2.60e+00,
122,3.80e+00,8.00e-01,1.96e+00,2.64e+00,
123,-4.00e-01,7.20e-01,1.76e+00,2.36e+00,
124,3.80e+00,8.00e-01,1.72e+00,2.28e+00,
125,-4.00e-01,6.40e-01,2.16e+00,2.92e+00,
126,3.80e+00,7.20e-01,2.04e+00,2.84e+00,
127,-6.00e-01,8.00e-01,1.56e+00,2.20e+00,
128,3.80e+00,8.00e-01,1.96e+00,2.56e+00,
129,-4.00e-01,7.20e-01,1.72e+00,2.36e+00,
130,-4.00e-01,7.20e-01,1.96e+00,2.60e+00,
131,3.80e+00,8.00e-01,1.68e+00,2.16e+00,
132,4.00e+00,7.20e-01,2.12e+00,2.36e+00,
133,-8.00e-01,8.80e-01,1.76e+00,2.84e+00,
134,-4.00e-01,8.00e-01,1.96e+00,2.40e+00,
135,3.80e+00,7.20e-01,1.76e+00,2.56e+00,
136,3.80e+00,8.00e-01,1.76e+00,2.36e+00,
137,-2.00e-01,7.20e-01,1.96e+00,2.60e+00,
138,-4.00e-01,6.40e-01,1.68e+00,2.24e+00,
139,4.40e+00,8.80e-01,2.20e+00,3.00e+00,
140,-4.00e-01,7.20e-01,1.72e+00,2.36e+00,
141,3.80e+00,8.80e-01,2.12e+00,2.84e+00,
142,3.80e+00,7.20e-01,1.96e+00,2.56e+00,
143,-4.00e-01,8.00e-01,1.76e+00,2.36e+00,
144,3.80e+00,8.00e-01,1.96e+00,2.36e+00,
145,-4.00e-01,7.20e-01,1.72e+00,2.60e+00,
146,3.80e+00,8.00e-01,1.76e+00,2.56e+00,
147,-4.00e-01,7.20e-01,1.96e+00,2.36e+00,
148,3.80e+00,8.00e-01,1.76e+00,2.60e+00,
